::1 - - [09/Aug/2024:09:49:32 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:49:32 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:49:33 +0200] "POST /livewire/update HTTP/1.1" 500 1174030
::1 - - [09/Aug/2024:09:49:58 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:49:59 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:50:00 +0200] "POST /livewire/update HTTP/1.1" 500 1204871
::1 - - [09/Aug/2024:09:50:26 +0200] "GET /contents HTTP/1.1" 500 13282
::1 - - [09/Aug/2024:09:50:27 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:50:34 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:50:35 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:50:36 +0200] "POST /livewire/update HTTP/1.1" 200 35216
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:51:01 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:51:01 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:51:01 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:51:01 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:51:00 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:51:01 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:51:02 +0200] "POST /livewire/update HTTP/1.1" 500 1173520
::1 - - [09/Aug/2024:09:52:00 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:52:01 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:52:02 +0200] "POST /livewire/update HTTP/1.1" 500 1173570
::1 - - [09/Aug/2024:09:55:16 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:55:17 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:55:18 +0200] "POST /livewire/update HTTP/1.1" 200 37678
::1 - - [09/Aug/2024:09:57:41 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:57:41 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:57:41 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:57:42 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:57:43 +0200] "POST /livewire/update HTTP/1.1" 200 57318
::1 - - [09/Aug/2024:09:58:07 +0200] "POST /livewire/update HTTP/1.1" 200 57318
::1 - - [09/Aug/2024:09:58:12 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:58:13 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:58:15 +0200] "POST /livewire/update HTTP/1.1" 200 57320
::1 - - [09/Aug/2024:09:58:41 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:58:42 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:58:44 +0200] "POST /livewire/update HTTP/1.1" 200 34879
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:58:54 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:58:56 +0200] "POST /livewire/update HTTP/1.1" 200 37780
::1 - - [09/Aug/2024:09:59:24 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:09:59:25 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:09:59:26 +0200] "POST /livewire/update HTTP/1.1" 200 37780
::1 - - [09/Aug/2024:11:36:00 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:11:36:01 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:11:36:02 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:11:36:03 +0200] "POST /livewire/update HTTP/1.1" 200 18367
::1 - - [09/Aug/2024:11:38:32 +0200] "POST /livewire/update HTTP/1.1" 500 1176003
::1 - - [09/Aug/2024:11:38:50 +0200] "POST /livewire/update HTTP/1.1" 500 1173526
::1 - - [09/Aug/2024:11:39:09 +0200] "POST /livewire/update HTTP/1.1" 500 1173498
::1 - - [09/Aug/2024:11:39:26 +0200] "POST /livewire/update HTTP/1.1" 200 68261
::1 - - [09/Aug/2024:11:44:39 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /js/common.js HTTP/1.1" 200 -
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /css/common.css HTTP/1.1" 200 1498
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /css/mediapool.css HTTP/1.1" 200 3205
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /js/d_editor.js HTTP/1.1" 200 8447
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /build/assets/app-DkDdL2UM.js HTTP/1.1" 200 29764
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /css/d_editor.css HTTP/1.1" 200 6710
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /css/management.css HTTP/1.1" 200 15239
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /js/site_editor.js HTTP/1.1" 200 1197
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /livewire/livewire.js?id=770f7738 HTTP/1.1" 200 344985
::1 - - [09/Aug/2024:11:44:40 +0200] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [09/Aug/2024:11:44:42 +0200] "POST /livewire/update HTTP/1.1" 500 1175091
::1 - - [09/Aug/2024:11:46:03 +0200] "POST /livewire/update HTTP/1.1" 500 1177999
::1 - - [09/Aug/2024:11:46:24 +0200] "POST /livewire/update HTTP/1.1" 200 36444
::1 - - [09/Aug/2024:11:50:53 +0200] "GET /contents HTTP/1.1" 200 34436
::1 - - [09/Aug/2024:11:50:54 +0200] "GET /fonts/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
::1 - - [09/Aug/2024:11:50:54 +0200] "GET /build/assets/app-j8pi8qhU.css HTTP/1.1" 200 55913
